africa	africa.n.01
african_country	african_country.n.01
angola	angola.n.01
huambo	huambo.n.01
kasai	kasai.n.01
lobito	lobito.n.01
luanda	luanda.n.01
zambezi	zambezi.n.01
victoria	victoria.n.03
barbary	barbary.n.01
barbary_coast	barbary_coast.n.02
benin	benin.n.01
cotonou	cotonou.n.01
niger	niger.n.01
porto_novo	porto_novo.n.01
botswana	botswana.n.01
gaborone	gaborone.n.01
kalahari	kalahari.n.01
burundi	burundi.n.01
bujumbura	bujumbura.n.01
cameroon	cameroon.n.02
cameroon	cameroon.n.01
douala	douala.n.01
yaounde	yaounde.n.01
central_african_republic	central_african_republic.n.01
bangui	bangui.n.01
chad	chad.n.03
n'djamena	n'djamena.n.01
congo	congo.n.01
congo	congo.n.02
goma	goma.n.01
kananga	kananga.n.01
kasai	kasai.n.01
kinshasa	kinshasa.n.01
kivu	kivu.n.01
lake_edward	lake_edward.n.01
lubumbashi	lubumbashi.n.01
nyamuragira	nyamuragira.n.01
nyiragongo	nyiragongo.n.01
congo	congo.n.03
brazzaville	brazzaville.n.01
djibouti	djibouti.n.02
djibouti	djibouti.n.01
east_africa	east_africa.n.01
burundi	burundi.n.01
bujumbura	bujumbura.n.01
kenya	kenya.n.01
kisumu	kisumu.n.01
mombasa	mombasa.n.01
nairobi	nairobi.n.01
nakuru	nakuru.n.01
rwanda	rwanda.n.01
kigali	kigali.n.01
kivu	kivu.n.01
tanzania	tanzania.n.01
dar_es_salaam	dar_es_salaam.n.01
dodoma	dodoma.n.01
kilimanjaro	kilimanjaro.n.01
lake_nyasa	lake_nyasa.n.01
mbeya	mbeya.n.01
mwanza	mwanza.n.01
olduvai_gorge	olduvai_gorge.n.01
serengeti	serengeti.n.01
serengeti_national_park	serengeti_national_park.n.01
tabora	tabora.n.01
tanga	tanga.n.02
tanganyika	tanganyika.n.02
zanzibar	zanzibar.n.01
uganda	uganda.n.01
buganda	buganda.n.01
kampala	kampala.n.01
entebbe	entebbe.n.01
gulu	gulu.n.01
jinja	jinja.n.01
lake_edward	lake_edward.n.01
nile	nile.n.01
egypt	egypt.n.01
alexandria	alexandria.n.02
arabian_desert	arabian_desert.n.01
aswan	aswan.n.01
aswan_high_dam	aswan_high_dam.n.01
cairo	cairo.n.02
el_alamein	el_alamein.n.01
giza	giza.n.01
lake_nasser	lake_nasser.n.01
libyan_desert	libyan_desert.n.01
lower_egypt	lower_egypt.n.01
luxor	luxor.n.01
memphis	memphis.n.02
nile	nile.n.01
saqqara	saqqara.n.01
sinai	sinai.n.03
sinai	sinai.n.01
sinai	sinai.n.02
suez	suez.n.01
suez_canal	suez_canal.n.01
thebes	thebes.n.01
upper_egypt	upper_egypt.n.01
nag_hammadi	nag_hammadi.n.01
equatorial_guinea	equatorial_guinea.n.01
bioko	bioko.n.01
malabo	malabo.n.01
ethiopia	ethiopia.n.01
addis_ababa	addis_ababa.n.01
lake_tana	lake_tana.n.01
gabon	gabon.n.01
libreville	libreville.n.01
gambia	gambia.n.01
banjul	banjul.n.01
ghana	ghana.n.01
accra	accra.n.01
kumasi	kumasi.n.01
lake_volta	lake_volta.n.01
tamale	tamale.n.01
volta	volta.n.02
great_rift_valley	great_rift_valley.n.01
guinea-bissau	guinea-bissau.n.01
bissau	bissau.n.01
guinea	guinea.n.03
conakry	conakry.n.01
niger	niger.n.01
ivory_coast	ivory_coast.n.01
abidjan	abidjan.n.01
kenya	kenya.n.01
kisumu	kisumu.n.01
mombasa	mombasa.n.01
nairobi	nairobi.n.01
nakuru	nakuru.n.01
lake_chad	lake_chad.n.01
lake_tanganyika	lake_tanganyika.n.01
lake_victoria	lake_victoria.n.01
lesotho	lesotho.n.01
maseru	maseru.n.01
liberia	liberia.n.01
monrovia	monrovia.n.01
libya	libya.n.01
benghazi	benghazi.n.01
libyan_desert	libyan_desert.n.01
tripoli	tripoli.n.02
madagascar	madagascar.n.01
antananarivo	antananarivo.n.01
maghreb	maghreb.n.01
algeria	algeria.n.01
algiers	algiers.n.01
annaba	annaba.n.01
atlas_mountains	atlas_mountains.n.01
batna	batna.n.01
blida	blida.n.01
constantine	constantine.n.02
djanet	djanet.n.01
hippo	hippo.n.01
oran	oran.n.01
reggane	reggane.n.01
timgad	timgad.n.01
timimoun	timimoun.n.01
morocco	morocco.n.01
atlas_mountains	atlas_mountains.n.01
casablanca	casablanca.n.01
el_aaium	el_aaium.n.01
fez	fez.n.01
jebel_musa	jebel_musa.n.01
marrakesh	marrakesh.n.01
oujda	oujda.n.01
rabat	rabat.n.01
tangier	tangier.n.01
western_sahara	western_sahara.n.01
tunisia	tunisia.n.01
ariana	ariana.n.01
atlas_mountains	atlas_mountains.n.01
ehadhamen	ehadhamen.n.01
gafsa	gafsa.n.01
sfax	sfax.n.01
sousse	sousse.n.01
tunis	tunis.n.01
malawi	malawi.n.01
blantyre	blantyre.n.01
lake_nyasa	lake_nyasa.n.01
lilongwe	lilongwe.n.01
zomba	zomba.n.01
mali	mali.n.01
bamako	bamako.n.01
niger	niger.n.01
timbuktu	timbuktu.n.01
mauritania	mauritania.n.01
nouakchott	nouakchott.n.01
mozambique	mozambique.n.01
beira	beira.n.01
lake_nyasa	lake_nyasa.n.01
limpopo	limpopo.n.01
maputo	maputo.n.01
zambezi	zambezi.n.01
victoria	victoria.n.03
namibia	namibia.n.01
kalahari	kalahari.n.01
namib_desert	namib_desert.n.01
windhoek	windhoek.n.01
niger	niger.n.02
