borodino	borodino.n.01.l
nag_hammadi	nag_hammadi.n.02.l
cow_town	cow_town.n.01.l
national_capital	national_capital.n.01.l
namibia	namibia.n.01.l
south_west_africa	namibia.n.01.l
windhoek	windhoek.n.01.l
herat	herat.n.01.l
jalalabad	jalalabad.n.01.l
kabul	kabul.n.01.l
kandahar	kandahar.n.01.l
qandahar	kandahar.n.01.l
albania	albania.n.01.l
tirana	tirana.n.01.l
algeria	algeria.n.01.l
algiers	algiers.n.01.l
batna	batna.n.01.l
blida	blida.n.01.l
oran	oran.n.01.l
djanet	djanet.n.01.l
reggane	reggane.n.01.l
timgad	timgad.n.01.l
timimoun	timimoun.n.01.l
angola	angola.n.01.l
luanda	luanda.n.01.l
huambo	huambo.n.01.l
lobito	lobito.n.01.l
george_town	george_town.n.01.l
antigua_and_barbuda	antigua_and_barbuda.n.01.l
hamilton	hamilton.n.06.l
argentina	argentina.n.01.l
bahia_blanca	bahia_blanca.n.01.l
buenos_aires	buenos_aires.n.01.l
cordoba	cordoba.n.04.l
cordova	cordoba.n.04.l
moron	moron.n.02.l
rosario	rosario.n.01.l
bulgaria	bulgaria.n.01.l
sofia	sofia.n.01.l
dobrich	dobrich.n.01.l
varna	varna.n.01.l
yangon	yangon.n.01.l
rangoon	yangon.n.01.l
mandalay	mandalay.n.01.l
burundi	burundi.n.01.l
bujumbura	bujumbura.n.01.l
cameroon	cameroon.n.02.l
cameroun	cameroon.n.02.l
yaounde	yaounde.n.01.l
douala	douala.n.01.l
praia	praia.n.01.l
central_african_republic	central_african_republic.n.01.l
central_africa	central_african_republic.n.01.l
bangui	bangui.n.01.l
sri_lanka	sri_lanka.n.01.l
ceylon	sri_lanka.n.01.l
colombo	colombo.n.01.l
kandy	kandy.n.01.l
ndjamena	n'djamena.n.01.l
chile	chile.n.01.l
antofagasta	antofagasta.n.01.l
concepcion	concepcion.n.01.l
santiago	gran_santiago.n.01.l
punta_arenas	punta_arenas.n.01.l
temuco	temuco.n.01.l
beijing	beijing.n.01.l
peking	beijing.n.01.l
chongqing	chongqing.n.01.l
guangdong	guangdong.n.01.l
guangzhou	guangzhou.n.01.l
canton	guangzhou.n.01.l
gansu	gansu.n.01.l
hunan	hunan.n.01.l
lanzhou	lanzhou.n.01.l
luoyang	luoyang.n.01.l
hangzhou	hangzhou.n.01.l
nanning	nanning.n.01.l
nanjing	nanjing.n.01.l
shanghai	shanghai.n.01.l
shenyang	shenyang.n.01.l
tangshan	tangshan.n.01.l
wuhan	wuhan.n.01.l
xian	xian.n.01.l
changan	xian.n.01.l
taipei	taipei.n.01.l
taichung	taichung.n.01.l
colombia	colombia.n.01.l
bogota	bogota.n.01.l
cartagena	cartagena.n.02.l
soledad	soledad.n.01.l
comoros	comoros.n.01.l
republic_of_the_congo	congo.n.03.l
brazzaville	brazzaville.n.01.l
democratic_republic_of_the_congo	congo.n.01.l
zaire	congo.n.01.l
belgian_congo	congo.n.01.l
goma	goma.n.01.l
kananga	kananga.n.01.l
kinshasa	kinshasa.n.01.l
lubumbashi	lubumbashi.n.01.l
costa_rica	costa_rica.n.01.l
san_jose	san_jose.n.02.l
abidjan	abidjan.n.01.l
guatemala	guatemala.n.01.l
guatemala_city	guatemala_city.n.01.l
belize	belize.n.01.l
honduras	honduras.n.01.l
tegucigalpa	tegucigalpa.n.01.l
el_salvador	el_salvador.n.01.l
salvador	el_salvador.n.01.l
san_salvador	san_salvador.n.01.l
santa_ana	santa_ana.n.04.l
nicaragua	nicaragua.n.01.l
managua	managua.n.01.l
panama	panama.n.01.l
panama_city	panama_city.n.02.l
merida	merida.n.01.l
mexico	mexico.n.01.l
chihuahua	chihuahua.n.02.l
chihuahua	chihuahua.n.01.l
ciudad_juarez	ciudad_juarez.n.01.l
juarez	ciudad_juarez.n.01.l
ciudad_victoria	ciudad_victoria.n.01.l
coahuila	coahuila.n.01.l
culiacan	culiacan.n.01.l
durango	durango.n.01.l
guadalajara	guadalajara.n.01.l
hermosillo	hermosillo.n.01.l
leon	leon.n.03.l
matamoros	matamoros.n.01.l
mazatlan	mazatlan.n.01.l
mexicali	mexicali.n.01.l
ciudad_de_mexico	mexico_city.n.01.l
monterrey	monterrey.n.01.l
