zanzibar	zanzibar.n.01
zarqa	az_zarqa.n.01
zealand	zealand.n.01
zion	israel.n.01
zion	zion.n.01
arsenal	arsenal.n.02
bath	bathroom.n.01
casino	casino.n.01
as	american_samoa.n.01
aalborg	aalborg.n.01
aarhus	arhus.n.01
abila	jebel_musa.n.01
abkhazia	abkhaz.n.02
abruzzi	abruzzi.n.01
acapulco	acapulco.n.01
achaea	achaea.n.01
acre	acre.n.02
acre	acre.n.03
aden	aden.n.01
aegina	aegina.n.01
afghanistan	afghanistan.n.01
africa	africa.n.01
alberta	alberta.n.01
alsace	alsace.n.01
alsatia	alsace.n.01
amur	amur.n.01
anatolia	asia_minor.n.01
andalucia	andalusia.n.01
andalusia	andalusia.n.01
andorra	andorra.n.01
anguilla	anguilla.n.01
anjou	anjou.n.01
annaba	annaba.n.01
antarctica	antarctica.n.01
antigua	antigua.n.01
antwerp	antwerpen.n.01
antwerpen	antwerpen.n.01
apalachicola	apalachicola.n.01
appalachia	appalachia.n.01
apulia	puglia.n.01
aqaba	al_aqabah.n.01
aquitaine	aquitaine.n.01
aquitania	aquitaine.n.01
aragon	aragon.n.02
argos	argos.n.01
arhus	arhus.n.01
artois	artois.n.01
asahikawa	asahikawa.n.01
asia	asia.n.02
aspinwall	colon.n.04
assam	assam.n.01
astana	astana.n.01
aswan	aswan.n.01
attica	attica.n.01
auckland	auckland.n.01
australia	australia.n.01
austria	austria.n.01
corona	aureole.n.01
bahrain	bahrain.n.02
baikal	baikal.n.01
bali	bali.n.01
bam	bam.n.01
banff	banff.n.01
bangladesh	bangladesh.n.01
barbados	barbados.n.01
barbados	barbados.n.02
barbuda	barbuda.n.01
barranquilla	barranquilla.n.01
basra	basra.n.01
bataan	bataan.n.01
baykal	baikal.n.01
belau	palau.n.02
belem	belem.n.01
bengal	bengal.n.01
bermuda	bermuda.n.01
bethlehem	bethlehem.n.02
bihar	bihar.n.01
bithynia	bithynia.n.01
blantyre	blantyre.n.01
bloomsbury	bloomsbury.n.01
bolzano	bolzano.n.01
borneo	borneo.n.01
bougainville	bougainville.n.02
bourgogne	bourgogne.n.01
braga	braga.n.01
brandenburg	brandenburg.n.01
brazil	brazil.n.01
brazos	brazos.n.01
brescia	brescia.n.01
bretagne	bretagne.n.01
brittany	bretagne.n.01
brunei	brunei.n.01
buffalo	buffalo.n.02
buganda	buganda.n.01
bulawayo	bulawayo.n.01
burgundy	bourgogne.n.01
burma	myanmar.n.01
byblos	byblos.n.01
cadiz	cadiz.n.01
caesarea	caesarea.n.01
cairo	cairo.n.01
cali	cali.n.01
caloocan	caloocan.n.01
doge	doge.n.01
dogtooth	canine.n.01
dole	dole.n.01
dole	dole.n.02
dollar	dollar.n.03
donna	donna.n.01
assumption	goldno
doorway	doorway.n.01
down	down.n.02
downside	downside.n.01
cambodia	cambodia.n.01
cambria	wales.n.01
campania	campania.n.01
campeche	campeche.n.01
campeche	campeche.n.02
canada	canada.n.01
canaries	canary_islands.n.01
cancun	cancun.n.01
cannae	cannae.n.01
cannes	cannes.n.01
cappadocia	cappadocia.n.01
capri	capri.n.01
caribbean	caribbean.n.01
caribbean	caribbean.n.02
emporium	department_store.n.01
carthage	carthage.n.01
cashmere	kashmir.n.01
caucasus	caucasus.n.01
cebu	cebu.n.01
centre	centre.n.01
chad	chad.n.03
charleroi	charleroi.n.01
charlestown	charlestown.n.01
chechnya	chechnya.n.01
chicago	chicago.n.01
china	china.n.01
chios	chios.n.01
chittagong	chittagong.n.01
christchurch	christchurch.n.01
clichy	clichy.n.01
clyde	clyde.n.01
cologne	cologne.n.01
colon	colon.n.04
colorado	colorado.n.02
colorado	colorado.n.03
colossae	colossae.n.01
colosseum	colosseum.n.01
columbia	columbia.n.01
connecticut	connecticut.n.01
constantine	constantine.n.02
corse	corse.n.02
corsica	corse.n.02
cotacachi	cotacachi.n.01
cotopaxi	cotopaxi.n.01
crete	crete.n.01
cuba	cuba.n.01
curacao	curacao.n.01
czechoslovakia	czechoslovakia.n.01
dachau	dachau.n.01
dakar	dakar.n.01
dalian	dalian.n.01
dallas	dallas.n.01
dalmatia	dalmatia.n.01
danube	danube.n.01
delaware	delaware.n.04
delphi	delphi.n.01
dodecanese	dodecanese.n.01
dominica	dominica.n.02
dubai	dubai.n.01
dublin	dublin.n.01
durres	durres.n.01
egypt	egyptian_empire.n.01
eindhoven	eindhoven.n.01
elam	elam.n.01
elmont	elmont.n.01
england	england.n.01
ephesus	ephesus.n.01
eritrea	eritrea.n.01
eurasia	eurasia.n.01
europe	europe.n.01
europe	europe.n.03
europe	european_union.n.01
faisalabad	faisalabad.n.01
fargo	fargo.n.01
fiji	fiji.n.01
finland	finland.n.01
flanders	flanders.n.01
flint	flint.n.02
franche-comte	franche-comte.n.01
frankfort	frankfurt_on_the_main.n.01
frankfurt	frankfurt_on_the_main.n.01
friesland	friesland.n.02
frisia	frisia.n.01
galapagos	galapagos_islands.n.01
galicia	galicia.n.01
galloway	galloway.n.01
garonne	garonne.n.01
