aah	00856756.v
abacinate	02148661.v
abandon	02207318.v
abandon	00605740.v
abandon	02207028.v
abandon	02058122.v
abandon	00606404.v
abase	01782644.v
abash	01774948.v
abate	00242091.v
abate	00241861.v
abbreviate	00240551.v
abbreviate	00240702.v
abdicate	02356275.v
abduce	01005783.v
abduct	01458315.v
abduct	01436738.v
aberrate	02636750.v
aberrate	02636443.v
abet	02524939.v
abhor	01757422.v
abide	02611851.v
abide	00660036.v
abide_by	02518044.v
abide_by	02433335.v
abjure	00790175.v
ablactate	01175736.v
ablate	00272095.v
ablate	00174792.v
abnegate	02192499.v
abnegate	01105514.v
abnegate	00749557.v
abolish	02403739.v
abominate	01757422.v
abort	00349868.v
abort	00059339.v
abort	00059175.v
abound	02691339.v
abound	02691516.v
abound_in	02691844.v
about-face	01891123.v
about-face	00680971.v
abrade	01242417.v
abrade	01240055.v
abrase	01242417.v
abreact	01798327.v
abridge	00240702.v
abridge	00233787.v
abrogate	02454705.v
abscise	01243759.v
abscise	01243626.v
abscond	02055390.v
abseil	01905138.v
absent	00417235.v
absolve	00894423.v
absolve	00893136.v
absorb	01526762.v
absorb	00594659.v
absorb	02195985.v
absorb	01526192.v
absorb	00391421.v
absorb	02739935.v
absorb	00593449.v
absorb	01457796.v
absorb	00592790.v
absquatulate	02055390.v
abstain	02439566.v
abstain	01184814.v
abstract	00684232.v
abstract	02255322.v
abstract	00726241.v
abstract	00998206.v
abuse	02492450.v
abuse	00200244.v
abuse	00836339.v
abuse	00200587.v
abut	01454240.v
aby	02496381.v
abye	02496381.v
accede	00869040.v
accede	02358456.v
accede	00795631.v
accelerate	00433564.v
accelerate	00434729.v
accent	01003285.v
accent	00973606.v
accentuate	01003285.v
accentuate	00973606.v
accept	00678350.v
accept	02215038.v
accept	00789163.v
accept	00710937.v
accept	02215538.v
accept	02280154.v
accept	00660760.v
accept	02717194.v
accept	02190047.v
accept	02189505.v
accept	00710195.v
access	02227734.v
access	01989112.v
accession	00989696.v
acclaim	00852705.v
acclaim	00852909.v
acclimate	00389400.v
acclimatise	00389400.v
acclimatize	00389400.v
accommodate	02676783.v
accommodate	00296094.v
accommodate	01173217.v
accommodate	02708472.v
accommodate	02625998.v
accommodate	00876618.v
accommodate	00477839.v
accompany	02692092.v
accompany	02007298.v
accompany	01713120.v
accompany	02692513.v
accomplish	01626161.v
accomplish	02501902.v
accord	02674073.v
accord	02234159.v
accost	00980893.v
accost	00772986.v
account	02582326.v
account	02244042.v
account	00955323.v
account	00858624.v
account_for	02609652.v
account_for	00930124.v
accouter	02319777.v
accoutre	02319777.v
accredit	02451656.v
accredit	02451893.v
accredit	00719479.v
accrete	00392048.v
accrete	00156582.v
accrue	00153129.v
accrue	02209352.v
acculturate	00157094.v
accumulate	02283208.v
accumulate	00156018.v
accurse	00855890.v
accuse	00834037.v
accuse	00834507.v
accustom	00270066.v
ace	02498400.v
ace	01102512.v
ace	01074413.v
ace	01067053.v
acerbate	01756531.v
acerbate	00267061.v
acetify	02176747.v
acetify	00261532.v
acetylate	00518983.v
acetylate	00518767.v
acetylise	00518983.v
acetylise	00518767.v
acetylize	00518983.v
acetylize	00518767.v
ache	02101881.v
ache	01788516.v
ache	02102534.v
achieve	02501902.v
achromatise	00519214.v
achromatize	00519214.v
acid-wash	01524400.v
acidify	02176747.v
acidify	00261532.v
acidulate	02176747.v
acknowledge	00808595.v
acknowledge	00883392.v
acknowledge	01048565.v
acknowledge	00883161.v
acknowledge	00732103.v
acknowledge	00585692.v
acquaint	00891797.v
acquaint	00865137.v
acquaint	00823948.v
acquiesce	00795631.v
acquire	02190280.v
acquire	00519348.v
acquire	00093465.v
acquire	02669346.v
acquire	02266750.v
acquire	00590335.v
acquire	00540164.v
acquit	00894749.v
acquit	02494017.v
act	02344645.v
act	00010473.v
act	01704085.v
act	01085009.v
act	00013635.v
act	02720436.v
act	02501264.v
act	02395415.v
act	01706339.v
act	01704704.v
act_as	02645905.v
act_as	00013635.v
act_involuntarily	00010279.v
act_on	02353506.v
act_on	02353708.v
act_out	01707428.v
act_out	01707230.v
act_reflexively	00010279.v
act_superior	02568972.v
act_up	02493511.v
act_up	02102892.v
act_upon	02512310.v
action	02557283.v
action	01626161.v
activate	01628963.v
activate	00187703.v
activate	00188406.v
activate	00188020.v
activate	00187907.v
actualise	01630052.v
actualise	00978144.v
actualize	01630052.v
actualize	00978144.v
actuate	01628963.v
actuate	01635233.v
acuminate	00388950.v
ad-lib	01713605.v
adapt	00296094.v
adapt	00147724.v
add	00179714.v
add	01017074.v
add	02302430.v
add	00633230.v
add	00939719.v
add	02720631.v
add_on	00181066.v
add_on	01316903.v
add_to	00154610.v
add_together	00939719.v
add_together	00633230.v
add_up	02602015.v
add_up	00939719.v
add_up	02619800.v
add_up	02594510.v
addict	01154166.v
addle	00612756.v
addle	00207645.v
address	00888258.v
address	00979439.v
address	00981050.v
address	01140025.v
address	01149775.v
address	02576876.v
address	02227944.v
address	01023194.v
address	00980893.v
address	00459758.v
adduce	01005783.v
adduct	01436547.v
adhere	02693924.v
adhere	00481446.v
adhere	01209565.v
adhere	02613495.v
adhere	02613280.v
adhere	01344512.v
adjoin	01454240.v
adjoin	01194412.v
adjoin	00180692.v
adjourn	00360275.v
adjourn	02404892.v
adjudge	00813641.v
adjudicate	02477194.v
adjudicate	00690759.v
adjure	00751174.v
adjure	00746845.v
adjust	00292692.v
adjust	00459392.v
adjust	00147724.v
adjust	00294581.v
adjust	00691238.v
admeasure	02273509.v
administer	02408394.v
administer	02287847.v
administer	02272900.v
administer	00080270.v
administrate	02408394.v
admire	01810714.v
admire	02144995.v
admit	00808595.v
admit	02478434.v
admit	02426186.v
admit	02215538.v
admit	02720945.v
admit	02717330.v
admit	02708472.v
admit	02645571.v
admix	00392427.v
admonish	00861539.v
admonish	00862157.v
admonish	00815332.v
adolesce	00249343.v
adopt	02324518.v
adopt	02324347.v
adopt	02358785.v
adopt	00519348.v
adopt	00408865.v
adopt	01686174.v
adopt	00594226.v
adore	01760813.v
adorn	01660856.v
adorn	02724239.v
adorn	02363441.v
adsorb	01527363.v
adulate	00871211.v
adulterate	00482637.v
adumbrate	00996339.v
adumbrate	00918175.v
advance	01974178.v
advance	00866498.v
advance	00491943.v
advance	02530608.v
advance	01975601.v
advance	01100173.v
advance	00245310.v
advance	00552958.v
advance	02374312.v
advance	02262404.v
advance	01975963.v
advance	00155436.v
advantage	02489099.v
advect	02083753.v
adventure	02520094.v
adventure	02521018.v
advert	02150693.v
advert	01016628.v
advert	01014090.v
advertise	00966193.v
advertise	00966944.v
advertize	00966944.v
advertize	00966193.v
advise	00863848.v
advise	00864644.v
advise	00866135.v
advocate	00865882.v
advocate	00818899.v
aerate	02093356.v
aerate	00188020.v
aerate	00182774.v
aerify	00437635.v
aerosolise	01365751.v
aerosolise	01365569.v
aerosolize	01365569.v
aerosolize	01365751.v
aestivate	00016203.v
affect	00134917.v
affect	00019468.v
affect	02651302.v
affect	00829186.v
affect	01751191.v
affiance	00877295.v
affiliate	02564838.v
affiliate	02564507.v
affiliate	02411704.v
affirm	00657823.v
affirm	01000949.v
affirm	01001643.v
affix	01344132.v
affix	01316903.v
affix	01286698.v
afflict	01780580.v
afflict	00256542.v
afflict	00070038.v
afford	01181406.v
afford	02316932.v
afford	02719910.v
afford	02335639.v
afforest	01554655.v
affranchise	02453256.v
affright	01762161.v
affront	00839460.v
age	00245163.v
age	00244677.v
age	00246312.v
agenise	00512238.v
agenize	00512238.v
agglomerate	01471837.v
agglutinate	01210696.v
agglutinate	01210364.v
aggrade	01296157.v
aggrandise	00946711.v
aggrandize	00946711.v
aggravate	00205208.v
aggravate	01803757.v
aggregate	02602207.v
aggregate	01372963.v
aggress	01107684.v
aggrieve	02489710.v
aggrieve	01780432.v
aggroup	01079164.v
agitate	02560291.v
agitate	01745770.v
agitate	02564997.v
agitate	01876315.v
agitate	01872007.v
agitate	01407271.v
agnise	00720287.v
agnize	00720287.v
agonise	01777356.v
agonise	01777196.v
agonize	01777356.v
agonize	01777196.v
agree	00796868.v
agree	00755674.v
agree	02631896.v
agree	02674073.v
agree	02717441.v
agree	02269590.v
agree	01025201.v
aid	02523332.v
aid	00081261.v
ail	00077848.v
ail	00070038.v
aim	01140154.v
aim	00700721.v
aim	01016875.v
aim	00704917.v
aim	01139603.v
aim	00945778.v
aim	00697401.v
air	02093356.v
air	00964019.v
air	00963347.v
air	00945039.v
air	00483911.v
air	00483652.v
